Designator ;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.404.620;-848.360;900.000;top
C2;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.404.620;-759.675;-900.000;top
C3;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.726.925;-777.490;1.800.000;top
C4;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.726.925;-800.350;1.800.000;top
C5;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.439.035;-787.400;-900.000;top
C6;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.403.475;-690.665;-900.000;top
C7;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.439.035;-690.665;-900.000;top
C8;100nF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.496.275;-1.064.260;0.0000;top
C9;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.774.480;-754.845;900.000;top
C10;1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.777.020;-714.205;-900.000;top
C11;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.358.900;-692.150;900.000;top
C12;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.330.960;-692.150;900.000;top
C13;10µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.358.900;-736.600;900.000;top
C14;0.1µF;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1.330.960;-736.600;900.000;top
D1;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1.404.620;-801.710;-900.000;top
D2;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1.295.400;-977.900;900.000;top
D3;LED;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1.320.800;-977.900;900.000;top
D4;D_Schottky;SOD-123FL;1.308.100;-939.800;0.0000;top
IC1;CP2102N-A02-GQFN24;QFN50P400X400X80-25N;1.287.580;-752.660;0.0000;top
J1;USB4085-GF-A_REVA4;GCT_USB4085-GF-A_REVA4;1.294.050;-863.550;-900.000;top
J2;JST_connector_SEN55;JST_BM06B-GHS-TBT_LF__SN__N_;1.856.740;-997.250;900.000;top
J3;ufl_connector;U.FL_Molex_MCRF_73412-0110_Vertical;1.739.410;-686.050;0.0000;top
J4;UART_Connector;TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal;1.833.880;-807.720;900.000;top
R1;1kΩ;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.440.180;-845.660;-900.000;top
R2;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.738.920;-734.150;900.000;top
R3;10k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.439.035;-736.545;-900.000;top
R4;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.686.400;-736.600;1.800.000;top
R5;4k7;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.686.400;-685.800;1.800.000;top
R6;20k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.330.960;-782.320;-900.000;top
R7;47k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.358.900;-782.320;900.000;top
R8;1k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.320.800;-1.022.350;900.000;top
R9;1k;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1.295.400;-1.022.350;900.000;top
SW1;TC-1102-B-C-B;SW_PUSH_6mm;1.394.820;-1.056.120;900.000;top
SW2;TC-1102-B-C-B;SW_PUSH_6mm;1.728.240;-861.060;0.0000;top
U1;LD1117S33TR_SOT223;SOT-223-3_TabPin2;1.417.320;-923.040;-900.000;top
U2;ESP32-WROOM-32;MODULE_ESP32-WROOM-32;1.566.450;-721.250;0.0000;top
U3;SGP41-D-R4;XDCR_SGP41-D-R4;1.772.430;-795.270;900.000;top
U4;SX1276S8S+T-X1;SX1276S8S+T-X1;1.565.600;-956.000;0.0000;top
